name,followers,popularity,spotify_url
Phan Đinh Tùng,85817,44,https://open.spotify.com/artist/3rbFpJkaR60h3KtE4YSZWd
Vy Dương,707,14,https://open.spotify.com/artist/72LLiDCylhkxp2NQnesTAE
Cammie,59,18,https://open.spotify.com/artist/70qzwZFMlpkYoAxQxeQlxX
Hữu Phước,81,3,https://open.spotify.com/artist/5Lk6i5t2cR3DmmMZeMZOHO
Cẩm Vân,3404,24,https://open.spotify.com/artist/4sB7Byv9cAeaPbR05YSQFR
S.T Sơn Thạch,9788,43,https://open.spotify.com/artist/3YwCEaM1uA75y4Iz6FLgRC
Fishy,6593,38,https://open.spotify.com/artist/7kSmS2G15QIw8rllwGex9r
NAOMI,20128,35,https://open.spotify.com/artist/7pCB93rz0fL0KvmnuN8AI3
BHMedia,737,25,https://open.spotify.com/artist/65jXflGBjXQ0IHN1UI0gFF
Vy Oanh,113781,28,https://open.spotify.com/artist/4qnRWrsA4QoiuNSxwoJYwq
Bảy Xê,0,0,https://open.spotify.com/artist/2FaXHrVqsjtZW8BKDOg0og
Trần Văn Khê,0,0,https://open.spotify.com/artist/189fwuzAZGFyMKFP5pVY2y
Hoàng Linh,56,3,https://open.spotify.com/artist/0Tdqo5pZilxbYW1YstvH3l
Ali Hoàng Dương,99577,54,https://open.spotify.com/artist/4RPhZ2g5GYff0hKNBlZKXh
Nguyen Cong Trang,3,0,https://open.spotify.com/artist/4oPIsFCGNjgxV99aHMiV2j
Rhymastic,703747,53,https://open.spotify.com/artist/0gGd4WhPXBSgDX6fdOHcOw
Linh Hương Luz,8228,44,https://open.spotify.com/artist/2FCxeoDrmuTZmyn8iXlQVB
Táo,401577,46,https://open.spotify.com/artist/23xCr75lKvnFvKi8ImHE7S
Vũ Cát Tường,781881,57,https://open.spotify.com/artist/7yquVKfxBuNFJbG9cy2R8A
Bon Nghiêm,20250,52,https://open.spotify.com/artist/6hnfLIkvDl6pjlAe1YRGXY
Tâm Tâm,55,1,https://open.spotify.com/artist/1EySOQuWu9I5yDvEy1ngLV
Ngo Thi Bich Vuong,17,1,https://open.spotify.com/artist/5ASI5krvCTq3MRD6aNHNp4
Dương 565,867,8,https://open.spotify.com/artist/3IG7FNyhnSx5JdETEblgQM
Trần Văn Thủy,0,0,https://open.spotify.com/artist/5aeYXif8lu34nq4xLqdMhr
Minh Đinh,26240,31,https://open.spotify.com/artist/4NfuHLESitkh66LOZeyzsu
untrusted,19111,46,https://open.spotify.com/artist/31mtcsgS3CJW5dEPlG83E7
Hoàng Tôn,278826,49,https://open.spotify.com/artist/6xRZoWlE9twEkMC5NW4Z9f
Thai Trinh,8102,27,https://open.spotify.com/artist/001OedRF8lGo3og3aHDTy6
Prod Kirimi,3427,26,https://open.spotify.com/artist/66MPaYLF7rYiyagIjKtRxA
Trang Yue,664,9,https://open.spotify.com/artist/2Hlo03qlzn5XlyVZaEsDyH
Hề Tạc,0,0,https://open.spotify.com/artist/0QwbIr9XlXYFUCtyv1ruta
Trương Minh Châu,0,0,https://open.spotify.com/artist/2KJTqpU6G76GPjoCblFUTM
Anh Tu,5920,26,https://open.spotify.com/artist/3POwJ3Emz9XTuljJmil7Sj
Việt Mino,1875,11,https://open.spotify.com/artist/5putGBxUS0uZyuAdtqw7Ve
CHOCO,46546,29,https://open.spotify.com/artist/5G3xTFJKwRceJK9SBNCk2f
Ssahita,319,12,https://open.spotify.com/artist/6j2X3PqiD0NewfpZgsOuu9
Kim Nguyên,22,0,https://open.spotify.com/artist/0giWb1I7MxDo6t6Ayjv23m
