name,release_date,album_type,album_name,artists,duration_ms,popularity,spotify_url
Vệt Nắng Cuối Trời,2018-10-19,compilation,Minh Vương M4U Tuyển Tập (Vol.3),Minh Vương M4U,282296,27,https://open.spotify.com/track/1kWAJ7GFA0iEkAtfOBipnP
Khác Biệt To Lớn,2020-08-31,single,Khác Biệt To Lớn,Trịnh Thăng Bình,218600,1,https://open.spotify.com/track/13GpUTkQUTJjXgsef8TU6C
Như Một Giấc Mơ,2013-12-02,album,"Tâm, Vol. 8",Mỹ Tâm,250943,29,https://open.spotify.com/track/67HYXjEncc0k0d2syzOFmg
Người Yêu Cũ,2017-01-23,single,Những Ca Khúc Hay Nhất Của Khởi My Phần 1,Khởi My,249835,0,https://open.spotify.com/track/6FeeQT5agGN6bB6ZqBPqxR
Vì Tôi Còn Sống,2016-01-01,single,Vì Tôi Còn Sống,Tiên Tiên,237639,0,https://open.spotify.com/track/1KKQQukX951Gaab5isI1td
Chỉ Cần Em Hạnh Phúc,2012,album,Chỉ cần em hạnh phúc,Hồ Quang Hiếu,251820,14,https://open.spotify.com/track/2E27dU5RLdRRPa5Uk0L9zZ
Hãy Buông Tay Em,2018-08-09,album,Thanh Ngọc 3- Nhật Ký 1 Chuyện Tình,Thanh Ngoc,288757,7,https://open.spotify.com/track/58xPN5phlJwmrcInj4Uc0t
Think Of You,2018-09-07,album,Thu Thủy,Thu Thủy,214883,15,https://open.spotify.com/track/72RJjNSdcqsx9ysBn3noKu
Cô Gái Đến Từ Hôm Qua,2008-04-04,album,"Trở Lại, Vol. 6",Mỹ Tâm,309933,25,https://open.spotify.com/track/2g7ArETJ1JtNwh4716jXLp
Còn lại gi sau cơn mưa,2012,album,Còn lại gì sau cơn mưa,Hồ Quang Hiếu,268408,32,https://open.spotify.com/track/7K11gQ2ZC1fFJQBWjmeLrr
Lắng Nghe Nước Mắt,2017-05-22,album,Mr Siro - Gương Mặt Lạ Lẫm,Mr.Siro,324048,0,https://open.spotify.com/track/47UwkrqdE13xHFmn69aAlu
Em Gai Mua Piano Version - Huong Tram ft Mr.Siro - Original,2019-03-04,single,Em Gai Mua Piano Version - Huong Tram ft Mr.Siro (Original),Mr.Siro,211175,0,https://open.spotify.com/track/2FgjCGJ6v9ljFJcRjaxjgz
Dưới Những Cơn Mưa,2017-05-22,album,Tuyển Tập Những Bài Hát Hay Nhất Của Mr Siro,Mr.Siro,297116,0,https://open.spotify.com/track/0iYnQgrpgJjTWajy7BnrCd
"Một Bước Yêu, Vạn Dặm Đau",2019-03-20,single,"Một Bước Yêu, Vạn Dặm Đau",Mr.Siro,298913,0,https://open.spotify.com/track/1boTjjDheiPBIlk1fzLB3O
Bức Tranh Từ Nước Mắt,2017-05-22,album,Tuyển Tập Những Bài Hát Hay Nhất Của Mr Siro,Mr.Siro,259866,0,https://open.spotify.com/track/2PNkjdeLWWex008WknQHFk
Em Gái Mưa,2020-11-10,single,Em Gái Mưa,Charmy Pham,323623,40,https://open.spotify.com/track/7MhbS0jIDu0ip0hl7ktENJ
Khi Người Lớn Cô Đơn,2015-08-01,album,Phạm Hồng Phước Collection,Phạm Hồng Phước,345835,31,https://open.spotify.com/track/12Sf9vjeFtLnT79p5V6x1W
Người Ấy,2017-04-04,album,Ca Sĩ Giấu Mặt,Trịnh Thăng Bình,260674,42,https://open.spotify.com/track/1Szl9lPaJ750Hn2hRX9QI0
Dấu Mưa,2018-03-01,single,Dấu Mưa,Trung Quân,260094,0,https://open.spotify.com/track/3Lpk4lQN6nziIwI7pY8NO2
Vết Mưa,2014-01-01,album,Giải Mã,Vũ Cát Tường,210067,54,https://open.spotify.com/track/5cn5oHiXJTLiuthgbgfkMh
Trong Tri Nho Cua Anh Cover - Original,2018-05-25,single,Trong Tri Nho Cua Anh Cover (Original),ERIK,251448,37,https://open.spotify.com/track/44UFK3c62FzOHSemTpz8ZM
Người Yêu Cũ,2013-11-27,single,Người Yêu Cũ (Gửi Cho Anh 2),Khởi My,249796,39,https://open.spotify.com/track/5EsP6r0kdOgUatVZH9u8cq
Người Yêu Cũ Có Người Yêu Mới,2015,album,Hamlet Trương - Compilation,Hamlet Trương,258324,2,https://open.spotify.com/track/2I5RsguodrVJ43W9jxsFQN
Giữ Em Đi,2021-03-01,single,Mùa Oải Hương Năm Ấy (Original Television Soundtrack),Thùy Chi,284457,0,https://open.spotify.com/track/6NwIu7QJHAirU8AxKz3IE7
Người Lạ Ơi,2020-11-10,single,Người Lạ Ơi,"Superbrothers, Karik, Orange",217272,38,https://open.spotify.com/track/4GK1GQjDZN7zFglMgJJ8wN
Như Phút Ban Đầu,2016-09-19,single,Như Phút Ban Đầu,Noo Phước Thịnh,256000,38,https://open.spotify.com/track/2r2G9169qXx4b29f4xKot7
Xe Đạp,2017-09-25,album,Tuổi Hoa Mộng,Thùy Chi,285457,35,https://open.spotify.com/track/2iTzIxM3EcXXnWYyqnwbZ6
Em Không Quay Về,2016-10-10,album,Tuyển Tập Yanbi Vol 16,"YanBi, Hoàng Tôn",265142,0,https://open.spotify.com/track/5KuE6aKxrjEVjcLd27O98D
Chuyện Mưa,2015-08-01,single,Mưa,Trung Quân,260178,16,https://open.spotify.com/track/3WxBjMCg5Id1VWgybg15U8
Trái Tim Em Cũng Biết Đau,2017-05-22,album,Tổng Hợp Ca Khúc MV Hay Nhất Bảo Anh,Bảo Anh,302927,38,https://open.spotify.com/track/2PspjfdPnw78FIkUypoluk
Xin Đừng Lặng Im,2017-07-31,single,Xin Đừng Lặng Im,SOOBIN,249522,0,https://open.spotify.com/track/2XAh8hSaxc8u8j2AFGvLdu
THUONG,2020-11-27,album,TUOI 25,Lê Cát Trọng Lý,217226,11,https://open.spotify.com/track/0NyxYYukQKIFHZQhrdT3tb
Nơi Tình Yêu Bắt Đầu,2020-06-09,album,Nơi Tình Yêu Bắt Đầu,"Bằng Kiều, Lam Anh",273920,0,https://open.spotify.com/track/0AKWkmzpdkBsF6b7sR71m5
Người Tình Mùa Đông,2018-03-01,album,SEE SING SHARE 2,Hà Anh Tuấn,256000,0,https://open.spotify.com/track/3vk3dClmtyZeCOInJJeRCB
Mơ Hồ,2016-09-15,album,"Xin Em, Vol. 01",Bùi Anh Tuấn,260760,44,https://open.spotify.com/track/0rtwHli23DZDBobMqluwSd
Mơ,2016-01-01,single,Mơ,Vũ Cát Tường,262191,59,https://open.spotify.com/track/2a5hng9yXtbjtTVVm9UviC
Gương Mặt Lạ Lẫm,2017-05-22,album,Mr Siro - Gương Mặt Lạ Lẫm,Mr.Siro,334315,0,https://open.spotify.com/track/3Q20ORgNwAULXMFsfWzCAE
Chờ Ngày Mưa Tan (feat. Tonny Việt),2013-01-20,single,Chờ Ngày Mưa Tan,"Noo Phước Thịnh, Tonny Việt",212388,33,https://open.spotify.com/track/6DdwwZGJtcELMCVi4vyaYQ
Thu Cuối,2016-10-10,album,Tuyển Tập Yanbi Vol 2,"YanBi, Mr T, Hằng BingBoong",294948,43,https://open.spotify.com/track/5ZMDJIYgsZWHXw2ILFblva
Cũng Đành Thôi,2021-03-01,single,Cũng Đành Thôi,Đức Phúc,272944,0,https://open.spotify.com/track/12HaeiaS5UJgoxvnLgU5ro
Yêu Một Người Vô Tâm,2017-05-22,album,Tổng Hợp Ca Khúc MV Hay Nhất Bảo Anh,Bảo Anh,309655,34,https://open.spotify.com/track/1nsFL5RxVT3gD3wxCs8b7z
Yêu Một Người Có Lẽ,2016-03-07,single,Yêu Một Người Có Lẽ,"Lou Hoàng, Miu Lê",253524,54,https://open.spotify.com/track/2o4dDfLK6NVI7TjBm5VoMv
Vì Sao,2011-11-10,album,2011 Hit Songs,"Khởi My, Hoang Rapper",257149,30,https://open.spotify.com/track/5lZjSsqLpHGk2V5tCug3NN
Cánh Hồng Phai,2016-01-01,compilation,Top Hits 70: Tâm Hồn Sỏi Đá,Trấn Thành,242120,0,https://open.spotify.com/track/5HZhvjSWkcCd7zn49qPypk
Tình thôi xót xa,1997-12-17,album,Tình thôi xót xa,Lam Truong,354280,0,https://open.spotify.com/track/73IJpwxH3KxjkP9D6eqkXO
Đông,2015-09-01,single,Đông,Trúc Nhân,229276,16,https://open.spotify.com/track/2kWl3iKit2UXyTrvHWmtOB
Mãi Mãi Bên Nhau,2014-10-21,single,Mãi Mãi Bên Nhau,Noo Phước Thịnh,268437,40,https://open.spotify.com/track/3B8BsHqwDa0mYDq2uSo0DJ
Cánh Hồng Phai,2020-04-03,album,Hiếu Bến Tàu,Hồ Quang Hiếu,280938,18,https://open.spotify.com/track/3qFAi1tB4Bzbe0Z945TwQO
Tình đơn phương,1999-06-25,album,Mãi cho tình lênh đênh,Lam Truong,253746,0,https://open.spotify.com/track/3UXb2beRdFp7rDbnxtkqn4
Ông Bà Anh,2018-03-01,single,Ông Bà Anh,Lê Thiện Hiếu,236878,0,https://open.spotify.com/track/1P8YW29J8oGxWBUGKadUPh
Yêu Xa,2014-01-01,album,Giải Mã,Vũ Cát Tường,292608,46,https://open.spotify.com/track/7HkOqABWXwZwx9ujjnS6Tg
Chiều Nay Không Có Mưa Bay,2018-03-01,compilation,Những Bài Hát Hay Nhất Của Trung Quân Idol,Trung Quân,296556,0,https://open.spotify.com/track/5CLVwtxgHf7Sq4whKzkyXj
Bốn Chữ Lắm,2018-07-18,single,Bốn Chữ Lắm,"Trúc Nhân, Trương Thảo Nhi",257238,36,https://open.spotify.com/track/3OxzteADDv79dESfPexzxr
Mình Là Gì Của Nhau,2016-09-21,single,Mình Là Gì Của Nhau,Lou Hoàng,295352,44,https://open.spotify.com/track/4Wc98oLOg1IuVCGqIhTDVj
Thời Thanh Xuân Sẽ Qua,2016-02-13,single,Thời Thanh Xuân Sẽ Qua,"Phạm Hồng Phước, Văn Mai Hương",413035,29,https://open.spotify.com/track/7sspONJ8mKF1tnETDulMKY
Còn Thương Thì Không Để Em Khóc,2019-12-26,single,Còn Thương Thì Không Để Em Khóc,Miu Lê,292500,0,https://open.spotify.com/track/69cVm2zymPuNBHJW20fqi9
Bụi Bay Vào Mắt,2018-03-01,compilation,Cầu Vồng Tình Yêu,Phạm Quỳnh Anh,260015,0,https://open.spotify.com/track/1b9pPFydodMPwscQOinfbD
Hương Đêm Bay Xa,2017-01-23,single,Hương Đêm Bay Xa,Hari Won,222198,29,https://open.spotify.com/track/60stblF9Y7lfkFaw8NH4f0
Ai Là Người Thương Em,2019-05-15,single,Ai Là Người Thương Em,Quân A.P,305793,40,https://open.spotify.com/track/2vi7mKwVAYDM4OkiTOn8Ng
Đường Một Chiều (feat. Andiez),2018-12-13,single,Đường Một Chiều (feat. Andiez),"Huỳnh Tú, Andiez",286998,0,https://open.spotify.com/track/6YqT0wNMlqPmktvxKJxv3n
Người Nào Đó,2013-07-26,album,Người Nào Đó,JustaTee,237610,0,https://open.spotify.com/track/7opZZHYZXCWeVUGqVYux2o
Cầu Vồng Khuyết,2015-01-10,album,Tuấn Hưng (Vol 6),Tuấn Hưng,254066,31,https://open.spotify.com/track/0gLHFAl41fRdWYBsJlC5kQ
Trái Tim Bên Lề,2000-10-16,album,"Chuyện Lạ, Vol. 1",Bằng Kiều,317346,0,https://open.spotify.com/track/5xxYcywFYoAvHtvHzZG8Lj
Chưa Bao Giờ,2018-03-01,single,Chưa Bao Giờ,Trung Quân,273960,0,https://open.spotify.com/track/423psT9xFX4cIJtbsNzf7W
Nhỏ Ơi,2015-10-01,compilation,The Best Of Hoài Lâm,Hoài Lâm,140512,0,https://open.spotify.com/track/6PTmPKtlivOFJSLFQUfKBh
Thả Vào Mưa,2018-03-01,single,Thả Vào Mưa,Trung Quân,342875,0,https://open.spotify.com/track/6yRhrIxPIpCsdc2hL5q2OG
Gọi Mưa,2020-09-22,album,Trái Đất Tròn Không Gì Là Không Thể,Trung Quân,346284,18,https://open.spotify.com/track/5uZYuy4vQdikwN4S0ZuaNJ
Ngày Chưa Giông Bão,2018-03-01,single,Ngày Chưa Giông Bão (Người Bất Tử OST),Bùi Lan Hương,212000,0,https://open.spotify.com/track/7laWkT6uyoMDUXBqhcAN4V
Giấc Mơ Trưa,2018-04-24,album,Giấc Mơ Trưa,Thùy Chi,342439,0,https://open.spotify.com/track/2xN5FUZfwCawCOEaKJvcIL
Em Của Quá Khứ,2019-08-08,single,Em Của Quá Khứ,Nguyễn Đình Vũ,187140,0,https://open.spotify.com/track/5Y7mLKQPsqZfcj8v0BDHwT
Bâng Khuâng,2020-08-21,single,Bâng Khuâng,JustaTee,313157,42,https://open.spotify.com/track/2gaAcgDNzxHMgYO5SmsY0I
Đưa Nhau Đi Trốn (Chill Version),2015-09-11,single,Đưa Nhau Đi Trốn (Chill Version),"Đen, Linh Cáo",241958,0,https://open.spotify.com/track/1Axzkl935WrIsBwDqk90yQ
Da Lo Yeu Em Nhieu,2019-05-22,single,Da Lo Yeu Em Nhieu,"JustaTee, Phương Ly",261105,0,https://open.spotify.com/track/348dR8a22Tu2yUvCfYuXsi
Yêu 5,2017-01-01,single,Yêu 5,Rhymastic,240000,51,https://open.spotify.com/track/5U30iZBlmxkpHqzb1OSnBS
Tâm Sự Với Người Lạ,2018-02-24,single,Tâm Sự Với Người Lạ,Tiên Cookie,258847,0,https://open.spotify.com/track/0wfwhnAYNXg104UAqqZCO5
Trái Tim Bên Lề - 2021 Version,2021-04-04,single,Trái Tim Bên Lề (2021 Version),Bằng Kiều,317370,0,https://open.spotify.com/track/5pPHKKMM8HwaloDYS3MDGJ
Có Ai Thương Em Như Anh,2018-01-01,single,Có Ai Thương Em Như Anh,"Tóc Tiên, Touliver",231497,51,https://open.spotify.com/track/7AD5F85waSb3yZxZxEXhJM
Nồng Nàn Hà Nội,2015-08-01,album,Nồng Nàn Hà Nội,Nguyen Duc Cuong,253884,0,https://open.spotify.com/track/74h1byxD9v3asWVEvIPgQC
Đêm Lao Xao,2021-01-26,compilation,REPLY 2000 Xuân Hạ Thu Đông Rồi Lại Xuân,"Forest Studio, Hoà Minzy",239000,26,https://open.spotify.com/track/6yKJYa4ZJxw9JIzD7LfmcB
Ước Gì,2003-06-17,album,"Yesterday & Now, Vol. 3",Mỹ Tâm,332960,33,https://open.spotify.com/track/1Y1GDXcjsnIODQfog5sYdw
Chân Tình (feat. Ali Hoàng Dương),2021-01-26,compilation,REPLY 2000 Xuân Hạ Thu Đông Rồi Lại Xuân,"Forest Studio, Anh Tú, Ali Hoàng Dương",222500,24,https://open.spotify.com/track/4Jd1Q60rxJ9Bbx2l6l42N7
Người Hãy Quên Em Đi,2017-12-06,album,Tâm 9,Mỹ Tâm,232481,43,https://open.spotify.com/track/1rJyVbXb3njXbN3lokllKf
Khi Giấc Mơ Về,2021-01-26,compilation,REPLY 2000 Xuân Hạ Thu Đông Rồi Lại Xuân,"Forest Studio, Anh Tú",241598,17,https://open.spotify.com/track/1hx4GU0pr5bujkJkDOxUDu
Thương Em Là Điều Anh Không Thể Ngờ,2018-12-18,single,Thương Em Là Điều Anh Không Thể Ngờ,Noo Phước Thịnh,308458,46,https://open.spotify.com/track/2gT5LL3uRANxvvmDxaULbQ
"Lặng Yên (Theme Song From ""Lặng Yên Dưới Vực Sâu"") [feat. Ái Phương]",2019-05-06,compilation,Những Sáng Tác Của Dương Trường Giang,"Bùi Anh Tuấn, Ái Phương",287399,16,https://open.spotify.com/track/2a6ISggkFB9EUrGBgx3bnJ
Chuyện Như Chưa Bắt Đầu,2013-12-02,single,Chuyện Như Chưa Bắt Đầu,Mỹ Tâm,269226,40,https://open.spotify.com/track/20dRfYNGWwxE9ryZ0bygDG
Nơi Tình Yêu Bắt Đầu,2016-09-15,album,"Xin Em, Vol. 01",Bùi Anh Tuấn,276160,47,https://open.spotify.com/track/5y3m3UvJRHDPCqO2SBq98f
Nơi Tình Yêu Kết Thúc,2016-09-15,album,"Xin Em, Vol. 01",Bùi Anh Tuấn,317773,49,https://open.spotify.com/track/6ahYdGHGTfy83VwR4AhQi9
Duyên Mình Lỡ,2018-06-29,single,Duyên Mình Lỡ,Charmy Pham,327864,36,https://open.spotify.com/track/1sjCOzYI0S0aCUNbnKZogB
Buông,2016-09-15,album,"Xin Em, Vol. 01",Bùi Anh Tuấn,233240,42,https://open.spotify.com/track/67Cxa088HT5J5OJ0SWB6Ip
Phố Mùa Đông - Live in DÀ LAT,2020-11-13,album,SEE SING SHARE 2 (LIVE IN ĐÀ LẠT),Hà Anh Tuấn,412000,25,https://open.spotify.com/track/2ttEpUV64O2J8Nruvxb2tZ
Riêng Một Góc Trời,2019-01-01,album,Riêng Một Góc Trời,Tuấn Ngọc,286160,0,https://open.spotify.com/track/5L2wegkm09ASkKyWKdMREj
Cho Em Gần Anh Thêm Chút Nữa,2022-02-28,single,Cho Em Gần Anh Thêm Chút Nữa,Charmy Pham,314332,0,https://open.spotify.com/track/2F7y3KqBTo5Nv68rhSKvXp
Tình Lỡ,2010-01-01,album,Khúc Tình Xưa,Lệ Quyên,353111,0,https://open.spotify.com/track/1ajnqknryWQwVm5DpSN61r
Phía Sau Một Cô Gái,2018-03-01,album,Music Home Soobin Hoàng Sơn,Truyền Hình FPT,251231,0,https://open.spotify.com/track/20PMK8VHuwGJMRABNMPzG7
If,2018-10-18,album,Stardom,Vũ Cát Tường,254549,34,https://open.spotify.com/track/0s7wXifcEHCo9OgELbNv8d
Hơn Cả Yêu,2022-05-05,single,Hơn Cả Yêu,Đức Phúc,256176,43,https://open.spotify.com/track/5YouPnnFSfNJPXgrWZ0P8C
Màu Nước Mắt,2021-01-09,single,Màu Nước Mắt,Nguyễn Trần Trung Quân,337500,17,https://open.spotify.com/track/0eu04PWtfdL2qEZxxlso39
Giả Vờ Yêu...,2018-09-25,single,Giả Vờ Yêu...,Ngô Kiến Huy,276280,6,https://open.spotify.com/track/5kFGj2YGqyJKN0lJXMcotR
Yêu Một Người Sao Buồn Đến Thế,2020-10-27,single,Yêu Một Người Sao Buồn Đến Thế,Noo Phước Thịnh,299028,43,https://open.spotify.com/track/4qUO7AEWP9VaCDCmiQCdWO
Khi Em Lớn,2021-04-20,single,Khi Em Lớn,"Orange, Hoàng Dũng",228094,54,https://open.spotify.com/track/5nD5PVXUkIpv0WcwfNFrgS
Em Hát Ai Nghe,2021-08-18,single,Em Hát Ai Nghe,Orange,279152,47,https://open.spotify.com/track/1SzlLbTE7hTs75M2R1a1Tg
Gạt Đi Nước Mắt (feat. Tonny Việt),2019-02-27,compilation,Noo Phước Thịnh Tuyển Tập (Vol.5),"Noo Phước Thịnh, Tonny Việt",256260,23,https://open.spotify.com/track/7uooJXRRcT1ZSfKnU8xYzD
Ừ Thì,2018-03-01,single,Ừ Thì,Mew Amazing,228219,0,https://open.spotify.com/track/6XrAKr1BYRtldlXF5frIBP
Như Những Phút Ban Đầu,2020-08-15,album,Có Khi,Hoài Lâm,334576,36,https://open.spotify.com/track/3IMtTktuYLeF2drqnaMYQ4
Cô Bé Mùa Đông,2021-10-29,album,Những Bài Hát Hay Nhất Của Trung Quân Idol,Trung Quân,258260,20,https://open.spotify.com/track/6bDEGbJl3TwVL17QNNVIU6
Thuận Theo Ý Trời,2019-11-28,single,Thuận Theo Ý Trời,Bùi Anh Tuấn,237264,50,https://open.spotify.com/track/56n21o9wtl9IjFVsGe7BG1
Những Kẻ Mộng Mơ,2018-10-19,single,Những Kẻ Mộng Mơ,Noo Phước Thịnh,253775,40,https://open.spotify.com/track/7fFvPlrcO79gXfErRuqaoC
Thay Tôi Yêu Cô Ấy,2019-08-03,single,Thay Tôi Yêu Cô Ấy,Thanh Hưng,328840,1,https://open.spotify.com/track/3QgxfoytTNxwebDu2ilQlo
Lạc,2021-06-01,album,Fragile,Hà Anh Tuấn,286453,15,https://open.spotify.com/track/4p5NNkYTDFKnD1Zwx0XyfS
Phố Không Mùa (feat. Dương Trường Giang),2019-05-06,compilation,Những Sáng Tác Của Dương Trường Giang,"Bùi Anh Tuấn, Dương Trường Giang",393705,15,https://open.spotify.com/track/3ayszKGAvaLQgdv0akSbGf
Tháng Tư Là Lời Nói Dối Của Em,2021-06-01,album,Fragile,Hà Anh Tuấn,310066,50,https://open.spotify.com/track/53zusvCJkyGYjEZ6bnLIjh
Chuyện Của Mùa Đông,2021-06-01,album,Fragile,Hà Anh Tuấn,364200,27,https://open.spotify.com/track/61wrGMzpFHnRm575QMWv20
Bước Qua Nhau,2021-11-11,single,Bước Qua Nhau,Vũ.,257647,43,https://open.spotify.com/track/6GJi4nSZOiTOU2FhsgxWyH
Lạ Lùng,2016-12-24,single,Lạ Lùng,Vũ.,261616,55,https://open.spotify.com/track/5Bti0azlFhMattVY76qFr9
Bước Qua Mùa Cô Đơn,2020-12-10,single,Bước Qua Mùa Cô Đơn,Vũ.,278823,43,https://open.spotify.com/track/7wkX67ruxr3x2GFz6vyIX9
Thu Cạn,2021-01-26,compilation,"Xuân Hạ Thu Đông, rồi lại Xuân (Tập 1,2)","Forest Studio, Hoà Minzy",230000,1,https://open.spotify.com/track/0NNlI9LFa0dkfYRukGqgQ2
Lang Tham,2010-01-01,album,Dau Ba Cham,Noo Phước Thịnh,200013,25,https://open.spotify.com/track/12ELcefSxQUzPhhQOuHoaE
Chưa Bao Giờ - Live in DÀ LAT,2020-11-13,album,SEE SING SHARE 2 (LIVE IN ĐÀ LẠT),Hà Anh Tuấn,302000,35,https://open.spotify.com/track/4W3EmoAU6q2qFAn08oWfEi
Gặp Nhưng Không Ở Lại,2020-12-08,single,Gặp Nhưng Không Ở Lại,"Hiền Hồ, Vương Anh Tú",276777,43,https://open.spotify.com/track/6jvCnAiPiiy5OORy8x4hRI
Ai Chung Tình Được Mãi (Cover),2022-04-19,single,Ai Chung Tình Được Mãi (Cover),Trung Quân,348900,27,https://open.spotify.com/track/0Wmb57JquSUpmQWeZr5AqJ
Xuân Thì,2020-07-11,album,Truyện Ngắn,Hà Anh Tuấn,346153,35,https://open.spotify.com/track/5j2yseMe74mLOVvdxWrWC1
Hoa Nở Không Màu - Acoustic Version,2020-07-15,single,Hoa Nở Không Màu (Acoustic Version),Hoài Lâm,320333,28,https://open.spotify.com/track/6xR4HTVCjQYHf8yRmH7sDJ
Và Ngày Nào Đó,2022-09-13,single,Và Ngày Nào Đó,Trung Quân,262311,40,https://open.spotify.com/track/6fDa6IEt8EAFkHH4hShFK4
Nước Ngoài,2018-03-01,single,Nước Ngoài,Phan Mạnh Quỳnh,212666,0,https://open.spotify.com/track/0ywqfyfIqtnnY0BPOeDtaY
Nước Ngoài - Live,2022-04-04,single,Nước Ngoài (Live),Mỹ Tâm,266345,15,https://open.spotify.com/track/7DrHeuxnmkWJbiIef3jm1w
Chưa Quên Người Yêu Cũ,2022-08-03,single,Chưa Quên Người Yêu Cũ,Hà Nhi,302465,0,https://open.spotify.com/track/3hxfMsWQOcS2o68G62SpuU
Lâu Lâu Nhắc Lại,2022-09-22,single,Lâu Lâu Nhắc Lại,"Hà Nhi, Khói",270000,43,https://open.spotify.com/track/5B66uVtd4X6Tls9I2VQm4N
Dĩ Vãng Nhạt Nhòa - Remake,2020-01-01,single,Dĩ Vãng Nhạt Nhòa,Hà Nhi,219335,42,https://open.spotify.com/track/0hFTqyu0ZkpKI0Ar8jOyZT
Giữa Đại Lộ Đông Tây,2018-03-01,single,Giữa Đại Lộ Đông Tây,Uyên Linh,226666,0,https://open.spotify.com/track/1MQ97OxIEAMm5BUHbS6yHv
Hoàng Hôn Tháng Tám,2021-08-09,single,Hoàng Hôn Tháng Tám,"Đông Hùng, KraziNoyze",254640,18,https://open.spotify.com/track/4RxxNjOLkV9t869cUcD5WA
Hoàng Hôn Tháng Tám,2021-06-01,album,Fragile,Hà Anh Tuấn,269613,22,https://open.spotify.com/track/7kDEnvOXTvfT1QYF93v1A9
Đừng Như Thói Quen,2019-06-11,single,Đừng Như Thói Quen,"JayKii, Sara Lưu",266196,42,https://open.spotify.com/track/1egSj83G00A1G4rlRp6IyK
Chỉ Còn Lại Tình Yêu,2016-09-15,album,"Xin Em, Vol. 01",Bùi Anh Tuấn,315986,33,https://open.spotify.com/track/13oWTZuocqL7XmsBBgNiZk
Cơn Mơ Băng Giá,2020-06-29,single,Cơn Mơ Băng Giá,Bằng Kiều,280016,0,https://open.spotify.com/track/5vLcKUGXx6dc6aHponXgsy
Yếu Đuối,2018-11-09,album,Tình Ca Hoàng Dũng,Hoàng Dũng,323265,0,https://open.spotify.com/track/7LUyhsof4Pwb6qJFNam0dA
Chờ Anh Nhé,2018-11-09,album,Tình Ca Hoàng Dũng,"Hoàng Dũng, Hoang Rob",322499,0,https://open.spotify.com/track/4stGDwiLe6DYjxCDSo4Xqf
Phai Dấu Cuộc Tình,2017-12-01,single,Điều Chưa Từng Nói,Bích Phương,274117,0,https://open.spotify.com/track/4vo3WM8OrVJKyEG69qEfWX
Buồn Thì Cứ Khóc Đi,2019-12-13,single,Buồn Thì Cứ Khóc Đi,Lynk Lee,222314,54,https://open.spotify.com/track/6iXGivPFpsqKmrINhIbPvx
Đôi Bờ,2022-11-10,album,"Trạm 2: Xuân Hạ Thu Đông, rồi lại Xuân 2","Forest Studio, Trúc Nhân",388053,36,https://open.spotify.com/track/1oEKTZuhIPuB9qP3ozuBJU
Xin Lỗi,2019-04-09,single,Xin Lỗi,Nguyên Hà,244036,0,https://open.spotify.com/track/5oqsevCqWkDwk61Y41bDQA
Nửa thập kỷ - Live At Yên Concert,2023-05-24,album,Yên Concert,Hoàng Dũng,310000,19,https://open.spotify.com/track/4ZBRzhjoHsSW29wlheiqeF
Hương (feat. Negav),2021-01-23,album,hương,"Văn Mai Hương, Negav",210285,46,https://open.spotify.com/track/6aeU5IH8DB1qHK5jRFTNUv
NHẠT,2020-01-01,single,NHẠT,Phan Mạnh Quỳnh,208500,40,https://open.spotify.com/track/5HKoAtKVhcc2XFYmxZOeNg
Nếu Anh Đi,2017-12-06,album,Tâm 9,Mỹ Tâm,251893,39,https://open.spotify.com/track/1aw1KeS9sT1mKPzs2hfqCz
Hẹn Ước Từ Hư Vô - Live,2022-03-02,single,Hẹn Ước Từ Hư Vô (Live),Mỹ Tâm,247553,42,https://open.spotify.com/track/2tg8L2ls1k19B2SvRKBnJh
Dành Cho Em,2015-01-01,compilation,Hoàng Tôn: The Hits Collection,Hoàng Tôn,238773,49,https://open.spotify.com/track/37KEMM9tMw5Tb5GWlBmOVM
Ánh Nắng Của Anh - Chờ Em Đến Ngày Mai Original Soundtrack,2016,single,Ánh Nắng Của Anh (Chờ Em Đến Ngày Mai Original Soundtrack),Đức Phúc,264384,37,https://open.spotify.com/track/7FF0bGTx7Y8bgPK3H6NxYX
Lac Nhau Co Phai Muon Doi (Music From “Cho Em Den Ngay Mai”),2017-01-16,single,Lac Nhau Co Phai Muon Doi (Music From “Cho Em Den Ngay Mai”),ERIK,316866,50,https://open.spotify.com/track/5m6oe6saYJkVSbouNrNfUw
Yếu Đuối,2019-03-06,single,Tình Ca Hoàng Dũng,Hoàng Dũng,323369,44,https://open.spotify.com/track/6ofqi64OnweM4Ohe1pYMO3
Phút Ban Đầu,2013-03-28,single,Phút Ban Đầu,Vũ.,243226,45,https://open.spotify.com/track/3LGNVNZeEIUwdzDvnUO73V
Đông Kiếm Em,2015-03-28,single,Đông Kiếm Em,Vũ.,246043,48,https://open.spotify.com/track/0B1ZnYwYefkNhZeE8ZQpv5
Trót Yêu,2020-09-22,album,Trái Đất Tròn Không Gì Là Không Thể,Trung Quân,315044,25,https://open.spotify.com/track/6RFeerGNz1bHGLia99K6dm
Người Ta Có Thương Mình Đâu,2018-07-17,single,Người Ta Có Thương Mình Đâu,Trúc Nhân,228121,38,https://open.spotify.com/track/1kEBHXwbG62RWVhenXNaFH
