name,release_date,album_type,album_name,artists,duration_ms,popularity,spotify_url
"Em Không Sai, Chúng Ta Sai",2020-05-07,single,"Em Không Sai, Chúng Ta Sai",ERIK,291529,55,https://open.spotify.com/track/3yWacnoBnM0lrzLmXAk44d
Cần Gì Hơn,2020-03-10,single,Cần Gì Hơn,"Tiên Tiên, JustaTee",206890,0,https://open.spotify.com/track/4bCuBkeVRofawnFkGu05fu
Thang Dien,2019-05-31,single,Thang Dien,"JustaTee, Phương Ly",235500,0,https://open.spotify.com/track/4mIyzgHPhoR1Lu3Y9okmM2
Anh Là Ai,2019-05-15,single,Anh Là Ai,Phương Ly,258305,0,https://open.spotify.com/track/6ly8wObp76oQL7vZayI5Zs
Mặt Trời Của Em,2019-05-22,single,Mặt Trời Của Em,"Phương Ly, JustaTee",249333,0,https://open.spotify.com/track/58ll2hFYb7bcdEN6YHbODP
Da Lo Yeu Em Nhieu,2019-05-22,single,Da Lo Yeu Em Nhieu,"JustaTee, Phương Ly",261105,0,https://open.spotify.com/track/348dR8a22Tu2yUvCfYuXsi
Nụ Cười,2020-04-07,single,Nụ Cười,Rhymastic,237714,28,https://open.spotify.com/track/31Rxc3kfQjI7WpaRKskQs2
Ngày Tuyệt Vời Nhất,2020-04-10,single,Ngày Tuyệt Vời Nhất,Rhymastic,216072,20,https://open.spotify.com/track/1absfaIfEuL60pPs51NnLp
Có Em Đời Bỗng Vui,2020-02-07,single,Có Em Đời Bỗng Vui,Chillies,247428,37,https://open.spotify.com/track/696w9BHmEY62myVCSDyrYW
Và Thế Là Hết,2018-12-24,single,Và Thế Là Hết,Chillies,291650,42,https://open.spotify.com/track/0Bk064jKjWtfdOD8UkcImR
Đi Đu Đưa Đi,2019-08-28,single,Đi Đu Đưa Đi,Bích Phương,220169,0,https://open.spotify.com/track/2OZTkXYCNbZS9TwPRy52Js
Ngày Mai Em Đi,2017-08-02,single,Ngày Mai Em Đi,"Lê Hiếu, SOOBIN, Touliver",218400,55,https://open.spotify.com/track/0ZP4bO2ywAv44HiEzzHaq5
Vai Lan Don Dua,2017-01-27,single,Vai Lan Don Dua,SOOBIN,170666,54,https://open.spotify.com/track/6hUpxEKFSjS8metuA1yxlf
Tinh Nhan Oi,2019-01-07,single,Tinh Nhan Oi,"Orange, Binz",254819,41,https://open.spotify.com/track/7KNVYQdx7arRoeEJi9C9IR
Nước Mắt Em Lau Bằng Tình Yêu Mới,2019-09-12,single,Nước Mắt Em Lau Bằng Tình Yêu Mới,"Da LAB, Tóc Tiên",285741,0,https://open.spotify.com/track/0wBfjdd1PyQsw3YeEFBrgT
"Không Sao Mà, Em Đây Rồi",2019-07-25,single,"Không Sao Mà, Em Đây Rồi","SUNI, Lou Hoàng",267961,0,https://open.spotify.com/track/5QD4S8vG6j7b73qyly52dP
Có Người,2019-11-30,album,Inner Me,Vũ Cát Tường,236000,26,https://open.spotify.com/track/5pf3f5rhtUnZ1PeTcHKVdz
"Sau Này, Hãy Gặp Lại Nhau Khi Hoa Nở",2020-03-26,single,"Sau Này, Hãy Gặp Lại Nhau Khi Hoa Nở",Nguyên Hà,275644,32,https://open.spotify.com/track/4LOhNmNsr4JSSQqTIsrUo1
Khó Vẽ Nụ Cười (feat. Du Uyen),2019-09-17,single,Khó Vẽ Nụ Cười (feat. Du Uyen),"Đạt G, Du Uyen",332307,47,https://open.spotify.com/track/0piLGIj0C7RR4B2gowEqmO
Suýt Nữa Thì,2018-03-01,single,Suýt Nữa Thì,Andiez,283391,0,https://open.spotify.com/track/23zwIyB2kh1hMKBhs7edPJ
Những Kẻ Mộng Mơ,2018-10-19,single,Những Kẻ Mộng Mơ,Noo Phước Thịnh,253775,40,https://open.spotify.com/track/7fFvPlrcO79gXfErRuqaoC
